row,col,filename,nonzero_pixels
11,4,tile_r11_c04.png,1161
11,5,tile_r11_c05.png,1161
11,6,tile_r11_c06.png,486
11,7,tile_r11_c07.png,1260
11,8,tile_r11_c08.png,1260
11,9,tile_r11_c09.png,1890
11,10,tile_r11_c10.png,1890
11,11,tile_r11_c11.png,1494
11,12,tile_r11_c12.png,1494
11,14,tile_r11_c14.png,1107
11,15,tile_r11_c15.png,657
12,0,tile_r12_c00.png,972
12,1,tile_r12_c01.png,972
12,2,tile_r12_c02.png,648
12,3,tile_r12_c03.png,801
12,4,tile_r12_c04.png,801
12,5,tile_r12_c05.png,1080
12,6,tile_r12_c06.png,144
12,7,tile_r12_c07.png,855
12,8,tile_r12_c08.png,621
12,9,tile_r12_c09.png,1098
12,10,tile_r12_c10.png,1098
12,11,tile_r12_c11.png,1494
12,12,tile_r12_c12.png,1494
12,13,tile_r12_c13.png,1548
12,14,tile_r12_c14.png,1782
12,15,tile_r12_c15.png,1548
13,0,tile_r13_c00.png,1188
13,1,tile_r13_c01.png,1188
13,2,tile_r13_c02.png,432
13,3,tile_r13_c03.png,801
13,4,tile_r13_c04.png,801
13,5,tile_r13_c05.png,1080
13,6,tile_r13_c06.png,1512
13,7,tile_r13_c07.png,2133
13,8,tile_r13_c08.png,2160
13,9,tile_r13_c09.png,1890
13,10,tile_r13_c10.png,1890
13,11,tile_r13_c11.png,972
13,12,tile_r13_c12.png,1728
13,13,tile_r13_c13.png,1548
13,14,tile_r13_c14.png,2259
13,15,tile_r13_c15.png,1548
14,0,tile_r14_c00.png,297
14,1,tile_r14_c01.png,684
14,2,tile_r14_c02.png,342
14,6,tile_r14_c06.png,540
14,7,tile_r14_c07.png,702
14,8,tile_r14_c08.png,729
14,9,tile_r14_c09.png,1098
14,10,tile_r14_c10.png,1098
14,11,tile_r14_c11.png,630
14,12,tile_r14_c12.png,1728
14,14,tile_r14_c14.png,504
15,0,tile_r15_c00.png,1791
15,1,tile_r15_c01.png,1368
15,2,tile_r15_c02.png,1854
15,3,tile_r15_c03.png,1224
15,4,tile_r15_c04.png,1224
15,5,tile_r15_c05.png,1224
15,6,tile_r15_c06.png,1224
15,7,tile_r15_c07.png,513
15,8,tile_r15_c08.png,621
15,9,tile_r15_c09.png,1890
15,10,tile_r15_c10.png,1890
15,11,tile_r15_c11.png,963
15,12,tile_r15_c12.png,684
15,13,tile_r15_c13.png,837
15,14,tile_r15_c14.png,864
15,15,tile_r15_c15.png,837
16,3,tile_r16_c03.png,1125
16,4,tile_r16_c04.png,1134
16,5,tile_r16_c05.png,1134
16,6,tile_r16_c06.png,1125
16,7,tile_r16_c07.png,2160
16,8,tile_r16_c08.png,2160
16,10,tile_r16_c10.png,963
16,11,tile_r16_c11.png,108
16,12,tile_r16_c12.png,1872
16,13,tile_r16_c13.png,441
16,14,tile_r16_c14.png,864
16,15,tile_r16_c15.png,441
17,0,tile_r17_c00.png,1620
17,1,tile_r17_c01.png,1620
17,2,tile_r17_c02.png,1296
17,3,tile_r17_c03.png,1728
17,4,tile_r17_c04.png,1296
17,7,tile_r17_c07.png,702
17,8,tile_r17_c08.png,729
17,10,tile_r17_c10.png,108
17,11,tile_r17_c11.png,963
17,12,tile_r17_c12.png,702
17,13,tile_r17_c13.png,837
17,14,tile_r17_c14.png,864
17,15,tile_r17_c15.png,837
18,0,tile_r18_c00.png,1521
18,1,tile_r18_c01.png,1521
18,2,tile_r18_c02.png,1224
18,3,tile_r18_c03.png,1674
18,4,tile_r18_c04.png,1728
18,5,tile_r18_c05.png,2304
18,6,tile_r18_c06.png,1728
18,7,tile_r18_c07.png,1872
18,8,tile_r18_c08.png,54
18,9,tile_r18_c09.png,540
18,11,tile_r18_c11.png,108
18,13,tile_r18_c13.png,441
18,14,tile_r18_c14.png,864
18,15,tile_r18_c15.png,441
19,0,tile_r19_c00.png,1728
19,1,tile_r19_c01.png,1512
19,3,tile_r19_c03.png,162
19,4,tile_r19_c04.png,990
19,5,tile_r19_c05.png,576
19,6,tile_r19_c06.png,450
19,7,tile_r19_c07.png,486
19,8,tile_r19_c08.png,1323
19,9,tile_r19_c09.png,1332
19,11,tile_r19_c11.png,963
19,12,tile_r19_c12.png,864
19,13,tile_r19_c13.png,2304
19,14,tile_r19_c14.png,864
19,15,tile_r19_c15.png,2304
20,0,tile_r20_c00.png,1620
20,1,tile_r20_c01.png,1422
20,2,tile_r20_c02.png,1296
20,3,tile_r20_c03.png,1728
20,4,tile_r20_c04.png,1296
20,5,tile_r20_c05.png,2304
20,6,tile_r20_c06.png,1728
20,7,tile_r20_c07.png,1872
20,8,tile_r20_c08.png,54
20,9,tile_r20_c09.png,540
20,11,tile_r20_c11.png,108
20,12,tile_r20_c12.png,756
20,13,tile_r20_c13.png,2016
20,14,tile_r20_c14.png,756
20,15,tile_r20_c15.png,2016
21,0,tile_r21_c00.png,1728
21,2,tile_r21_c02.png,1728
21,3,tile_r21_c03.png,1719
21,4,tile_r21_c04.png,1224
21,5,tile_r21_c05.png,576
21,6,tile_r21_c06.png,450
21,7,tile_r21_c07.png,486
21,8,tile_r21_c08.png,1323
21,9,tile_r21_c09.png,1332
21,11,tile_r21_c11.png,963
21,12,tile_r21_c12.png,540
21,13,tile_r21_c13.png,1350
21,14,tile_r21_c14.png,594
21,15,tile_r21_c15.png,1494
22,0,tile_r22_c00.png,1656
22,2,tile_r22_c02.png,972
22,3,tile_r22_c03.png,252
22,5,tile_r22_c05.png,2304
22,6,tile_r22_c06.png,1728
22,7,tile_r22_c07.png,1872
22,8,tile_r22_c08.png,1809
22,9,tile_r22_c09.png,1638
22,10,tile_r22_c10.png,1809
22,11,tile_r22_c11.png,108
22,12,tile_r22_c12.png,756
22,13,tile_r22_c13.png,2016
22,14,tile_r22_c14.png,756
22,15,tile_r22_c15.png,2016
23,0,tile_r23_c00.png,1089
23,1,tile_r23_c01.png,1089
23,2,tile_r23_c02.png,1089
23,3,tile_r23_c03.png,1089
23,5,tile_r23_c05.png,576
23,6,tile_r23_c06.png,450
23,7,tile_r23_c07.png,486
23,8,tile_r23_c08.png,315
23,9,tile_r23_c09.png,234
23,10,tile_r23_c10.png,396
23,11,tile_r23_c11.png,963
23,12,tile_r23_c12.png,864
23,13,tile_r23_c13.png,2304
23,14,tile_r23_c14.png,594
23,15,tile_r23_c15.png,1494
24,0,tile_r24_c00.png,1584
24,1,tile_r24_c01.png,1584
24,2,tile_r24_c02.png,1584
24,3,tile_r24_c03.png,1584
24,4,tile_r24_c04.png,1152
24,5,tile_r24_c05.png,1296
24,8,tile_r24_c08.png,1809
24,9,tile_r24_c09.png,1638
24,10,tile_r24_c10.png,1809
24,11,tile_r24_c11.png,108
24,12,tile_r24_c12.png,540
24,13,tile_r24_c13.png,1350
25,0,tile_r25_c00.png,693
25,1,tile_r25_c01.png,693
25,2,tile_r25_c02.png,693
25,3,tile_r25_c03.png,693
25,4,tile_r25_c04.png,504
25,5,tile_r25_c05.png,567
25,8,tile_r25_c08.png,315
25,9,tile_r25_c09.png,234
25,10,tile_r25_c10.png,396
26,0,tile_r26_c00.png,297
26,3,tile_r26_c03.png,297
26,6,tile_r26_c06.png,297
26,7,tile_r26_c07.png,261
26,8,tile_r26_c08.png,1035
26,9,tile_r26_c09.png,684
26,10,tile_r26_c10.png,1503
26,11,tile_r26_c11.png,1728
26,12,tile_r26_c12.png,243
26,13,tile_r26_c13.png,342
26,14,tile_r26_c14.png,1143
26,15,tile_r26_c15.png,747
27,0,tile_r27_c00.png,432
27,1,tile_r27_c01.png,2304
27,2,tile_r27_c02.png,2304
27,3,tile_r27_c03.png,2304
27,4,tile_r27_c04.png,2304
27,5,tile_r27_c05.png,2304
27,6,tile_r27_c06.png,2304
27,7,tile_r27_c07.png,486
27,8,tile_r27_c08.png,1053
27,9,tile_r27_c09.png,720
27,10,tile_r27_c10.png,720
27,11,tile_r27_c11.png,558
27,12,tile_r27_c12.png,558
27,13,tile_r27_c13.png,405
27,14,tile_r27_c14.png,891
27,15,tile_r27_c15.png,648
28,0,tile_r28_c00.png,432
28,1,tile_r28_c01.png,720
28,2,tile_r28_c02.png,720
28,3,tile_r28_c03.png,1017
28,4,tile_r28_c04.png,720
28,5,tile_r28_c05.png,720
28,6,tile_r28_c06.png,1017
28,7,tile_r28_c07.png,882
28,8,tile_r28_c08.png,1008
28,9,tile_r28_c09.png,693
28,10,tile_r28_c10.png,882
28,11,tile_r28_c11.png,1008
28,12,tile_r28_c12.png,693
28,13,tile_r28_c13.png,1575
28,14,tile_r28_c14.png,1809
28,15,tile_r28_c15.png,1053
29,7,tile_r29_c07.png,1746
29,8,tile_r29_c08.png,1872
29,9,tile_r29_c09.png,1395
29,10,tile_r29_c10.png,1746
29,11,tile_r29_c11.png,1872
29,12,tile_r29_c12.png,1395
29,13,tile_r29_c13.png,648
29,14,tile_r29_c14.png,504
29,15,tile_r29_c15.png,648
30,1,tile_r30_c01.png,882
30,2,tile_r30_c02.png,1008
30,3,tile_r30_c03.png,693
30,4,tile_r30_c04.png,882
30,5,tile_r30_c05.png,1008
30,6,tile_r30_c06.png,693
30,7,tile_r30_c07.png,882
30,8,tile_r30_c08.png,1008
30,9,tile_r30_c09.png,693
30,10,tile_r30_c10.png,1539
30,11,tile_r30_c11.png,1305
30,12,tile_r30_c12.png,720
30,13,tile_r30_c13.png,657
30,14,tile_r30_c14.png,1053
30,15,tile_r30_c15.png,1053
31,1,tile_r31_c01.png,1746
31,2,tile_r31_c02.png,1872
31,3,tile_r31_c03.png,1395
31,4,tile_r31_c04.png,1746
31,5,tile_r31_c05.png,1872
31,6,tile_r31_c06.png,1395
31,7,tile_r31_c07.png,1746
31,8,tile_r31_c08.png,1872
31,9,tile_r31_c09.png,1395
31,10,tile_r31_c10.png,342
31,11,tile_r31_c11.png,972
31,12,tile_r31_c12.png,576
31,13,tile_r31_c13.png,657
31,14,tile_r31_c14.png,864
31,15,tile_r31_c15.png,747
32,10,tile_r32_c10.png,1539
32,11,tile_r32_c11.png,1305
32,12,tile_r32_c12.png,720
32,13,tile_r32_c13.png,657
32,14,tile_r32_c14.png,972
32,15,tile_r32_c15.png,666
33,10,tile_r33_c10.png,342
33,11,tile_r33_c11.png,972
33,12,tile_r33_c12.png,576
33,14,tile_r33_c14.png,936
